Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,diabetic_retinopathy
0.075118802,0.151471979,0.318775068,0.11912124,0.936808282,0.038938834,1
0.169243375,0.296825135,0.190729774,0.096536727,0.616095726,0.029902951,1
0.120792078,0.250942593,0.222566816,0.10443016,0.575383745,0.032978044,1
0.042980644,0.126978117,0.305627122,0.133529197,0.936640944,0.045120437,1
0.118619662,0.237475637,0.258393627,0.067282481,0.662197657,0.019333227,1
0.115493507,0.211995789,0.264450898,0.173828345,0.867963934,0.064103958,1
0.092895225,0.212362742,0.191260915,0.057584559,0.751469228,0.016122094,2
0.062101566,0.139705317,0.186786758,0.071276625,0.932193676,0.020685012,1
0.122269691,0.253074312,0.203736612,0.062034668,0.574604789,0.017571594,1
0.183724455,0.309096534,0.237794874,0.167148231,0.585170921,0.060974094,2
0.138060929,0.235266609,0.264529921,0.123308525,0.825589542,0.041290548,2
0.068943738,0.163551386,0.302486761,0.148039364,0.886147984,0.051751596,2
0.067211937,0.136439076,0.320452248,0.048802969,0.878900436,0.013323448,2
0.045360127,0.129770803,0.324436005,0.163195659,0.937403165,0.058847625,1
0.055229759,0.15654211,0.29394391,0.041510356,0.796382655,0.011104909,1
0.079784487,0.185871095,0.291854035,0.138677709,0.847861248,0.047408957,1
0.327123509,0.338916759,0.537513712,0.582029727,0.607045598,0.396200074,1
0.259580052,0.281515354,0.460019469,0.395313365,0.678628527,0.212700387,2
0.193235266,0.245369887,0.493792778,0.450481031,0.703211337,0.26136785,1
0.074571683,0.148125188,0.251324596,0.050616263,0.886851948,0.013887954,2
0.278173022,0.390835745,0.28207954,0.333510943,0.667825927,0.163706948,1
0.226315201,0.337167949,0.24875789,0.236597509,0.650101763,0.098611264,1
0.284481618,0.405949919,0.327816585,0.38525153,0.529731975,0.204393931,2
0.123577235,0.262263559,0.173442474,0.074045642,0.632513727,0.021657632,1
0.108753281,0.211201218,0.247350982,0.141612748,0.851775664,0.048731894,2
0.313728197,0.404998418,0.166108343,0.151233861,0.47287413,0.053179901,1
0.109492181,0.197669176,0.360638589,0.252824045,0.737764214,0.10924569,2
0.090059568,0.202073155,0.240011001,0.060356979,0.710340625,0.017021445,1
0.07198818,0.162738148,0.260946393,0.174943414,0.941914818,0.065815797,2
0.123099002,0.253746397,0.184168439,0.080976786,0.672855056,0.024117901,1
0.116152904,0.258671521,0.180225315,0.096392919,0.641434229,0.02985611,2
0.104409195,0.230702177,0.254008279,0.114689709,0.681685915,0.049839574,2
0.082972366,0.173225598,0.29371229,0.195998085,0.881755531,0.075599103,2
0.027120387,0.102255504,0.33061005,0.037984416,0.867340595,0.010500137,2
0.079200601,0.168535752,0.256433935,0.14239696,0.914334421,0.049083344,1
0.082630557,0.195616914,0.218939194,0.039946162,0.779810774,0.01063871,1
0.05287418,0.166844455,0.267540002,0.047195729,0.825027596,0.012907236,2
0.134319259,0.231996781,0.233071473,0.11921161,0.823944903,0.038981387,1
0.107292548,0.226623791,0.216848771,0.099975118,0.711625879,0.032255582,2
0.101367802,0.197675847,0.265233073,0.143002053,0.871110318,0.049360038,2
0.0470323,0.130096838,0.396581134,0.135075901,0.814938822,0.052734747,2
0.066597039,0.136841968,0.344884726,0.047535812,0.88884715,0.012932408,2
0.08414505,0.171929877,0.245624933,0.16864228,0.902339033,0.061517557,1
0.057125949,0.150102617,0.240044321,0.065492376,0.871345468,0.018717908,1
0.250321215,0.364397325,0.352479046,0.395524748,0.56036215,0.212879665,2
0.070827899,0.176658536,0.221578806,0.016876898,0.814806942,0.004185043,1
0.112216737,0.229824454,0.196349378,0.023317049,0.698655793,0.005918847,2
0.096612358,0.176634137,0.515332071,0.456878448,0.733735904,0.26731835,1
0.157084236,0.27980687,0.251131411,0.136926543,0.531705146,0.049781713,2
0.048980945,0.100891952,0.415618743,0.077147683,0.946369952,0.023640034,2
0.129005164,0.238270203,0.292911261,0.169284796,0.653864758,0.081412037,2
0.120862041,0.256912317,0.160105048,0.026543603,0.669869418,0.006794412,1
0.071401538,0.155519232,0.288740613,0.068780241,0.852123187,0.020207193,2
0.130660267,0.268811719,0.111401499,0.097100813,0.772407883,0.03011603,2
0.036780856,0.097318831,0.317610504,0.123962581,0.953999453,0.040977764,1
0.053418182,0.126363522,0.282706346,0.037985646,0.922048742,0.010050381,2
0.167240809,0.30815361,0.172849693,0.103011468,0.635253867,0.032418464,1
0.236849597,0.401962907,0.144822468,0.128923465,0.543095691,0.04313178,2
0.032869089,0.146330435,0.14879245,0.037272718,0.898810094,0.009841908,1
0.098445498,0.203451019,0.268338688,0.184104265,0.859053156,0.069335028,1
0.066413895,0.14834158,0.297705793,0.049269317,0.790676398,0.014299839,2
0.146691032,0.251113812,0.408586009,0.350874737,0.579559915,0.225002827,2
0.031593727,0.115110133,0.335781928,0.043156975,0.885386909,0.011596447,1
0.081980927,0.160656377,0.283213927,0.041667428,0.861691609,0.011172533,2
0.065490868,0.186672782,0.170904089,0.028653569,0.823200747,0.00737852,2
0.206115302,0.287832554,0.467451666,0.473863042,0.623320809,0.283408594,1
0.050387717,0.144551345,0.224055501,0.02961399,0.874492202,0.007669631,2
0.131059595,0.251420655,0.178050278,0.059151126,0.676507011,0.016631752,2
0.211258706,0.317060446,0.344009375,0.336328282,0.599074909,0.165810312,2
0.153884528,0.268735244,0.134433934,0.047719729,0.71663389,0.01298906,1
0.20630223,0.357803474,0.160014226,0.095817978,0.491804262,0.029904582,2
0.202151018,0.347281178,0.149654068,0.070261713,0.465024431,0.020346704,1
0.03299776,0.071359303,0.509035565,0.147916865,0.989959768,0.051611892,2
0.138834928,0.261255499,0.186672349,0.08889079,0.663871166,0.027012228,2
0.083946567,0.171078847,0.227041675,0.056733139,0.820888982,0.015830087,1
0.088680841,0.186691724,0.240810788,0.056862145,0.797102688,0.015882269,2
0.085876967,0.188773376,0.379738927,0.371327623,0.858231597,0.198654212,2
0.083702183,0.175773216,0.20612256,0.130717959,0.850350161,0.043897755,1
0.496610044,0.52641687,0.327640571,0.40359372,0.404769884,0.219735336,1
0.095082475,0.225514049,0.166352644,0.030481337,0.812528862,0.007888937,2
0.111626499,0.214693248,0.236972411,0.200165154,0.844371876,0.077842762,1
0.05212381,0.159245694,0.24485155,0.008898823,0.792063768,0.002150392,1
0.098547877,0.224643955,0.249305512,0.065976151,0.610305597,0.018893978,1
0.110135262,0.246235811,0.206300482,0.058150831,0.674592583,0.016296933,1
0.172793393,0.313798843,0.303246062,0.318719066,0.632963104,0.153779249,2
0.104358312,0.178925353,0.36513346,0.133014069,0.886984588,0.044898671,1
0.089076005,0.190209439,0.216273966,0.137922791,0.898920568,0.047068825,1
0.052929563,0.145779663,0.210832338,0.060191867,0.87954498,0.016959008,2
0.109993607,0.213429526,0.178149088,0.049681526,0.835894021,0.01359353,1
0.360844923,0.33230609,0.438755709,0.385415964,0.738421184,0.209164447,2
0.054364443,0.166942275,0.194651848,0.01104265,0.806668835,0.002685764,1
0.15693378,0.280659693,0.149631491,0.065303037,0.65521344,0.01866004,2
0.105186159,0.203375413,0.261452744,0.172157641,0.840738901,0.063272652,2
0.090458392,0.222409831,0.185581589,0.06948341,0.748006103,0.020077863,2
0.068189096,0.182255029,0.202557617,0.05355171,0.792440089,0.014949648,2
0.197701699,0.284642436,0.336438367,0.28479778,0.590919554,0.129955693,2
0.140323471,0.239320516,0.309816611,0.29308851,0.774327044,0.134806414,1
0.041937305,0.116991933,0.276851428,0.171234721,0.960293717,0.063525184,2
0.060554529,0.156010193,0.3103483,0.04546716,0.756529615,0.012302409,1
0.066568268,0.182894913,0.179593967,0.015034998,0.83099026,0.003703248,1
0.059463804,0.172098375,0.211478853,0.036432975,0.774678709,0.009601343,2
0.097753335,0.166763865,0.340276705,0.191911614,0.885556782,0.073422583,2
0.096734642,0.219720092,0.220293701,0.094816571,0.690891613,0.029248857,1
0.183896164,0.298249142,0.145647214,0.082208099,0.634680996,0.024558724,1
0.160341679,0.295689935,0.154611185,0.103308487,0.650240074,0.032531648,1
0.052668778,0.155065026,0.260956494,0.034191481,0.798620181,0.009285179,2
0.173129226,0.264216866,0.259814216,0.187909844,0.770491736,0.071317669,1
0.141118953,0.271493018,0.139274458,0.061409921,0.632273344,0.017396891,2
0.113366234,0.200593604,0.278913871,0.16371069,0.860531771,0.05910162,1
0.146405816,0.249214106,0.253917969,0.153267117,0.637224491,0.083185528,2
0.40428805,0.438188724,0.396084269,0.453075333,0.496725185,0.263782272,1
0.085762692,0.19846421,0.168901092,0.085499692,0.818453854,0.025776618,2
0.13822571,0.249373306,0.165125372,0.079971964,0.682947907,0.023751084,1
0.091348818,0.165608744,0.338018378,0.188444644,0.883665429,0.07164141,2
0.040400898,0.138328928,0.270824646,0.024890063,0.884948146,0.006333263,1
0.066721322,0.152986981,0.348436135,0.172581249,0.903384894,0.063476135,2
0.049214643,0.12394786,0.27785022,0.049310209,0.916629601,0.013487155,2
0.256077817,0.391285625,0.245683523,0.265167458,0.515979625,0.116315894,1
0.127540868,0.265854703,0.19617942,0.086261686,0.631044724,0.026036195,1
0.236236064,0.30927382,0.422893202,0.425721021,0.571313165,0.242737054,2
0.118404506,0.206432147,0.29487117,0.091310715,0.763571492,0.030307008,2
0.111372617,0.206094472,0.286908847,0.140230281,0.873151502,0.048105813,1
0.177987823,0.267273162,0.274866631,0.271661219,0.718883215,0.120506239,1
0.056524322,0.147693506,0.337672201,0.01695516,0.835782802,0.004207796,1
0.061249359,0.175479909,0.204349755,0.05116731,0.805359329,0.014316727,2
0.043595714,0.133795209,0.332564735,0.042637008,0.837580269,0.011445173,1
0.102125771,0.172571178,0.552840918,0.51764228,0.717265552,0.326894166,1
0.374643499,0.431013203,0.345659005,0.380626029,0.438853531,0.200545244,1
0.026972981,0.110307021,0.295142476,0.041591558,0.886514514,0.01127174,2
0.168795754,0.269131841,0.367773658,0.340955935,0.660570489,0.169309024,2
0.043693796,0.092736753,0.424005086,0.17090849,0.956016231,0.06292794,2
0.131317208,0.260192106,0.190415206,0.082147356,0.591402372,0.02454061,1
0.101124322,0.205472473,0.23619663,0.186961869,0.80629628,0.07082178,2
0.241826704,0.360637459,0.164847691,0.07896231,0.478443153,0.023397229,1
0.279241532,0.429529708,0.137956906,0.11769741,0.376335532,0.0383732,1
0.072576664,0.149475831,0.418628865,0.330807368,0.831357094,0.161865711,2
0.058935903,0.176205346,0.193311406,0.009083868,0.793253995,0.002193866,1
0.028785131,0.106992862,0.291253819,0.014558706,0.902452368,0.003592851,2
0.024147518,0.115101063,0.371592189,0.115791066,0.798952511,0.037591802,2
